LABEL,DIST_SC,DIST_SA,DIST_SB,ANGLE_SA,ANGLE_SB
0,47.66,41.92,49.96,61.22,66.56
0,46.44,24.28,57.69,31.09,101.6
0,17.45,24.22,60.02,60.7,173.06
1,30.93,57.94,43.47,167.16,70.34
1,46.67,50.94,43.26,68.65,66.08
0,43.98,44.04,54.12,72.64,76.82
1,45.19,58.77,25.54,107.33,33.51
0,23.45,45.93,56.3,129.11,113.55
0,45.02,44.63,52.55,71.44,73.59
1,46.49,57.88,24.33,101.76,31.13
1,46.98,55.55,24.44,92.87,31.17
1,39.13,52,25.45,107.13,40.14
1,46.99,55.45,24.41,92.61,31.12
0,46.68,24.8,56.79,31.66,98.57
1,37.79,56.3,27.23,87.28,46.11
1,49.3,52.2,41.88,81.21,53.16
1,46.15,52.39,42.85,71.4,66.1
1,27.79,50.17,35.16,146.43,69.64
1,36.63,57.99,27.55,92.21,48.62
0,39.35,27.2,56.59,43.68,87.16
1,44.69,59.7,24.71,109.51,32.76
1,49.84,50.43,40.75,75.34,51.56
0,35.91,28.85,51.04,53.04,94.99
0,23.2,45.97,55.71,136.5,109.14
0,47.5,41.63,50.99,60.71,68.63
0,31.43,42.65,57.56,67.07,177.83
1,35.86,60.71,22.82,147.17,32.32
1,23.15,55.51,45.86,108.73,136.92
0,17.04,25.29,59.97,67.14,170.16
1,49.83,50.51,40.8,75.55,51.64
0,18.66,21.34,51.1,57.13,158.41
1,36.87,60.59,21.8,145.79,30.36
0,37.87,27.33,56.48,46.18,87.48
0,36.76,21.68,59.91,29.81,144.01
0,49.25,41.88,52.16,53.22,81.34
0,46.76,43.4,51.12,66.15,68.8
1,47.77,54.94,41.62,89.7,54.45
1,46.72,56.88,24.76,98.48,31.58
1,37.1,47.23,36.79,97.84,62.76
1,49.47,53.1,40.79,82.96,51.51
0,35.77,27.76,58.15,50.03,95.29
0,35.79,27.77,58.09,50.02,95.15
1,28.26,52.73,18.25,171.82,33.24
0,24.38,46.17,55.8,130.53,108.31
0,15.88,24.41,59.48,65.42,178.48
1,30.88,57.91,43.48,167.34,70.41
0,41.9,42.45,46.75,74.26,75.92
1,47.77,55,41.67,89.87,54.52
1,49.99,51.25,40.12,77.51,50.39
1,46.91,56.3,24.21,96.26,30.84
0,49.42,40.73,52.98,51.48,82.92
1,44.68,59.62,24.72,109.3,32.77
1,35.83,60.64,22.84,146.9,32.37
0,39.82,27.09,55.41,42.57,83.74
1,47.49,54.06,42.99,89.26,56.4
1,32.01,57.94,42.73,164.73,67.46
0,36.71,27.53,58.06,48.42,92.18
1,15.79,59.35,24.39,178.74,65.84
1,43.15,49.43,39.78,89.35,61.12
0,17.5,24.21,60.09,60.64,173.22
0,30.29,25.87,51.34,55.06,107.63
0,39.35,27.21,56.66,43.72,87.28
1,31.46,57.73,42.81,177.69,67.3
0,36.16,39.84,45.71,79.45,82.22
1,36.79,60.09,21.77,144.14,29.92
0,33.78,27.69,59.69,53.06,101.13
1,35.17,52.07,22.98,120.15,39.1
0,24.61,40.27,46.68,109.82,106.5
0,46.21,42.84,52.42,65.93,71.35
0,45,44.66,52.62,71.54,73.71
0,47.51,41.59,50.93,60.59,68.54
0,23.51,45.94,56.32,128.88,113.45
